783,ec,326,2f0,ff1e,4,ffc9
847,f8,338,2e0,fee7,17,ffb7
77d,de,34e,2f0,fecb,11,ffa7
635,fa,342,2f0,ff04,2,ffa3
554,f8,336,2d6,ff5a,fff8,ffac
359,106,340,2e0,ff8c,ffe4,ffcd
171,ee,33e,2e8,ff89,ffd9,ffc7
6d,f2,348,2e2,ff79,ffc9,ffb8
ff69,f2,356,2e8,ff72,ffbe,ffbc
fd63,f0,346,2e2,ff6e,ffc8,ffae
fd81,e0,33e,2e6,ff8a,ffd6,ff01
fd15,f8,33e,2f0,ff8e,ffcc,ff83
fd57,fc,346,2f2,ff72,ffc0,fff5
fd17,e0,340,2f8,ff57,ffb7,ffe9
fdd3,f0,338,2f0,ff4d,ffa9,ffd1
fcdf,106,338,2ec,ff22,ff74,ffb6
fddc,f2,338,2f6,fef0,ff4e,ffa0
fea4,e6,33e,2f8,ff3a,ff76,ff5b
fe66,ec,33e,2e8,ab,61,ff76
fce8,f0,33e,2f6,64,5f,ff6d
fbff,ec,33e,2f0,22,61,ffe6
fba9,e0,33e,2fe,b,5a,ffe0
fb56,e8,33c,2ec,1d,50,ffce
fc08,ec,33e,2ec,4d,47,ffa3
fbe2,e6,340,2e2,bd,3f,ff7d
fd2e,ee,340,2e0,cb,31,ff74
fdc4,f8,340,2e6,9b,26,ff19
fc8e,f6,340,2e8,97,16,ff24
fd67,106,34c,2f0,89,fff3,ff5f
fc08,f0,348,2f2,7c,ffd7,ff49
fba4,f0,33e,2e6,70,ffcd,ff2e
fd7b,e6,332,2ec,6d,ffbc,ff1e
fd5c,f0,340,2f0,7e,ffa8,ff1d
fcb8,e6,340,2f2,96,ff99,ff19
fd33,f0,342,2f0,1d,ff93,ff87
fe79,e6,336,2ee,6e,ff85,ff8f
fdab,f2,33c,2e0,77,ff82,ff36
fea9,f2,34e,2ee,71,ff7c,ff47
fec3,e8,350,2e0,6b,ff6f,ff53
ff00,ee,346,2e2,5e,ff6b,ff5d
fe1c,ec,342,2d8,4c,ff6b,ff64
fdaa,e0,346,2e8,35,ff62,ff7c
ff12,e0,346,2de,45,63,ffcb
ff8f,e0,34c,2ec,46,66,ffdd
aa,e2,34c,2de,32,5a,fffa
144,f0,346,2e0,11,55,ffdf
84,e6,342,2d8,ffff,53,ffbf
23c,f0,34e,2e0,17,4f,ffa6
12a,e6,34e,2dc,4e,54,ffa2
202,e2,34c,2e0,8e,5e,ffb4
2db,ec,34c,2e0,11,ffb7,ff7d
e2,e8,34e,2ee,fff4,ffac,ff7b
38,e0,33e,2f2,ffe0,ff90,ff6d
ff8a,e2,342,2dc,ffe3,ff77,ff5f
ffb3,e0,34e,2d8,ffe7,ff61,ff5f
ff18,f2,358,2de,ffe9,ff55,ff6a
fe96,ec,358,2de,ffe6,ff50,ff6c
