d121,ff6c,26c,3bc,ffcd,49,ffda
d1c1,ff7c,266,3b8,ffe9,41,ffe5
d4d8,ff86,260,3ae,fffa,37,ffda
d515,ff92,266,3bc,fffe,34,ffd2
d6b2,ff8e,262,3b8,fff0,32,ffd5
d7bf,ff7e,260,3b8,ffd3,33,ffdd
d8e7,ff8e,262,3b0,ffc3,33,ffe3
d98f,ff8e,270,3b2,ffb4,28,fff8
d93b,ff8e,262,3b0,ffb3,37,fffc
d633,ff82,266,3b0,ffbb,33,fff6
d640,ff82,260,3b0,ffce,28,fff6
d693,ff80,260,3a6,ffec,1e,fff8
d832,ff7e,26e,3b0,fffb,18,ffff
d856,ff8e,260,3b0,fff3,15,fffb
d961,ff8e,266,3bc,ffdf,19,fff6
d9d8,ff80,266,3b8,ffbe,1c,ffe7
da2b,ff86,262,3bc,ff98,22,ffdc
da1c,ff80,258,3b8,ff8d,25,fffd
dc46,ff78,266,3b8,ff9b,29,ffff
dd87,ff86,260,3b2,ffb5,29,fffc
df00,ff8e,260,3b0,ffda,20,fff8
dd8e,ff80,260,3b2,fffc,1c,fff8
dda5,ff7e,258,3bc,f,19,fff5
dc01,ff7e,268,3b0,14,19,ffd4
dd00,ff86,262,3b0,0,13,ffd3
dc01,ff82,260,3b2,fff3,1a,ffd2
d9ce,ff78,260,3b0,ffdb,26,ffd0
d9ef,ff8e,256,3b2,ffb5,2d,ffd3
d968,ff8c,260,3b0,ff96,2f,ffd1
d89f,ff80,260,3bc,1b,33,ffd0
d783,ff90,262,3b0,25,38,ffd4
d655,ff8c,266,3b2,ffc3,3e,ffb6
d6fb,ff86,266,3b2,ffeb,49,ffb8
d749,ff80,258,3b0,16,45,ffcd
d6fd,ff86,260,3b2,36,3f,ffc6
d746,ff80,262,3b0,47,38,ffc8
d833,ff82,268,3b0,3f,34,ffc6
d8b1,ff6e,270,3bc,ff90,31,ffc3
d889,ff8c,266,3bc,ff9f,31,ffb9
d922,ff70,26c,3bc,ffab,23,ffd7
d757,ff6c,260,3be,ffba,28,ffd7
d565,ff92,262,3ae,ffc2,1e,fffc
d458,ff78,26e,3b0,ffcc,12,1
d3f7,ff70,266,3b8,ffd5,15,ffff
d4d9,ff82,262,3b0,ffdb,13,ffee
d49a,ff86,266,3b2,ffe0,1c,ffe0
d517,ff78,260,3be,ffda,28,ffd8
d703,ff86,266,3b6,ffd0,2c,6
d744,ff86,26c,3ae,ffc7,1b,0
d7f0,ff86,26e,3b0,ffc5,21,ffd8
d9b1,ff7e,270,3b0,ffcc,26,ffdc
dba6,ff82,268,3a2,ffca,2a,ffec
db0b,ff80,260,39c,ffc1,30,fffd
dc17,ff82,260,3ac,ffbf,35,9
dd51,ff70,266,3c0,ffcb,33,e
