b4dc,70,50,fdb2
c080,72,4e,fda2
cd08,52,4e,fdbc
d931,70,50,fdb0
e4c3,60,4c,fda2
ee3b,78,4e,fda0
f3dc,6e,52,fd9e
f6e0,70,50,fda0
f717,72,4e,fdb0
f60d,70,4e,fd9e
f5cb,62,4e,fdb0
f722,6c,50,fdb8
fb21,76,50,fda0
bb,58,52,fdbc
7b6,70,4c,fdb0
1032,6e,50,fdb0
18a9,60,4e,fda8
20f2,58,4e,fdb6
26f2,66,50,fdb0
2b35,66,4e,fda6
2da8,4c,4e,fdb2
2f10,70,4e,fdb0
2f16,58,56,fdb8
2dea,6e,4e,fdb8
2c39,66,48,fdae
2ab0,60,4e,fdb8
296f,6e,4c,fdb0
2712,60,4c,fdac
24e6,6e,4e,fdb6
23b7,70,42,fdac
2471,6e,4e,fdb0
25bb,70,4e,fdb0
2878,70,3c,fdac
2b94,72,50,fdae
2db0,58,56,fdbe
2d57,70,46,fdb0
2517,58,4e,fdb8
11c1,6c,46,fdb0
f564,66,4e,fdae
d66f,6c,4e,fdb0
bd5c,5c,46,fdb0
ae69,60,4c,fda2
a974,68,48,fda6
acdd,70,50,fda4
b450,70,4e,fd9e
bdd5,5c,4e,fdb2
c8a5,66,50,fdb0
d36e,6e,4e,fdb0
deb5,5c,4c,fda0
e868,60,4e,fda6
ee69,72,52,fda0
f170,70,50,fda6
f26e,5c,50,fdbe
f0d3,58,4e,fdb8
efdc,5e,4e,fdae
f031,5e,46,fdb8
f1d7,6e,4e,fdb6
f418,60,4c,fda0
f867,66,48,fda8
fdd4,5e,4e,fdb6
426,50,52,fdb8
bb8,5e,4e,fdae
14ef,66,46,fdae
1e25,6e,46,fdae
2736,66,4e,fdae
2f25,70,3e,fdae
3655,60,4e,fdb0
3c98,6e,46,fdae
4080,6e,4c,fdb0
42c0,6e,58,fda2
4429,66,52,fdb0
461d,60,46,fdb8
4818,60,42,fdb8
4997,72,52,fd9e
4a97,56,52,fdb8
4b8f,60,42,fdb8
4d3b,70,46,fdae
4fb0,6e,4e,fdb0
5049,70,46,fdae
51fc,60,4c,fda6
518c,70,4e,fdae
4c6c,58,4e,fdbc
3cd6,66,50,fdae
247e,60,4e,fdac
704,66,52,fdb0
ecd1,60,50,fdb8
da34,66,4e,fdb0
d19e,6c,46,fdac
d118,66,4e,fdb0
d6f8,70,52,fdb0
e0dd,66,50,fdb2
eb2c,6e,56,fdb0
f667,66,52,fdb0
239,70,4c,fda6
e5f,70,50,fdb0
18b6,66,50,fdb0
20fd,66,4e,fdb0
25a2,5e,46,fdb0
26ba,66,48,fdae
2523,70,4e,fdb0
22c8,6e,4e,fdb0
21c0,58,56,fdb8
231a,6c,46,fdb0
26d0,58,50,fdbe
2b0f,70,42,fdac
2eeb,66,52,fdb0
321d,6c,4e,fdae
361f,70,50,fdb0
3a8b,70,50,fda2
3f32,70,50,fdb0
4414,58,52,fdbc
493a,70,48,fdac
4de0,72,42,fdb0
50ee,62,4e,fda8
5141,58,42,fdb2
4f34,78,4e,fda0
4d0e,70,4e,fdb0
4cbe,60,48,fdb8
4d8f,66,4c,fdae
4ee1,70,52,fd9e
4fbc,66,4e,fdb0
5168,70,46,fdb0
52c1,66,48,fda2
544e,72,50,fda6
5507,58,4e,fdbc
4f59,66,50,fdb0
3e98,70,3e,fdae
2202,66,4c,fdae
fdb2,70,50,fda6
da57,70,50,fda0
bea4,66,52,fdb8
af20,66,48,fdb0
ab0b,66,4e,fdae
af97,60,4e,fdb2
b97e,60,4e,fdb0
c625,5e,46,fdb6
d3c3,6e,42,fdac
e1aa,48,4e,fdb0
